eta,reference,P_wrap,marked,chi,xi,n
0.58,K1_maple_leaf,0.0,0.13155864197530864,1.5008973270563304,0.6111253460670365,9
0.58,K2_kagome,0.0,0.01675485008818342,1.0,0.0,9
0.58,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.59,K1_maple_leaf,0.0,0.1390542328042328,1.5706304120426322,0.6723860497267377,9
0.59,K2_kagome,0.0,0.01730599647266314,1.0371134808699307,0.0805800262774547,9
0.59,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.5986,K1_maple_leaf,0.0,0.14406966490299822,1.5963739343029277,0.6787554335352246,9
0.5986,K2_kagome,0.0,0.01813271604938272,1.0163207163207162,0.05388678062534976,9
0.5986,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.5991,K1_maple_leaf,0.0,0.1435185185185185,1.5700028234462546,0.665765925409447,9
0.5991,K2_kagome,0.0,0.017581569664903,1.0363355780022447,0.08610565247165088,9
0.5991,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.5996,K1_maple_leaf,0.0,0.14874751984126983,1.600342684551133,0.7084534923155863,8
0.5996,K2_kagome,0.0,0.015500992063492064,1.0147435897435897,0.04587325880164202,8
0.5996,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.6,K1_maple_leaf,0.0,0.14208553791887124,1.6243170282559387,0.7074715597733419,9
0.6,K2_kagome,0.0,0.017416225749559082,1.0,0.0,9
0.6,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.6001,K1_maple_leaf,0.0,0.15024250440917108,1.6021594258953433,0.6795586413847333,9
0.6001,K2_kagome,0.0,0.017471340388007055,1.0188334676139554,0.06361141496079378,9
0.6001,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.6006,K1_maple_leaf,0.0,0.14533730158730157,1.600575453407841,0.7117881926913078,9
0.6006,K2_kagome,0.0,0.01653439153439153,1.0235735735735736,0.05349020664352495,9
0.6006,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.6011,K1_maple_leaf,0.0,0.14869929453262787,1.5947027657534547,0.6659817763510899,9
0.6011,K2_kagome,0.0,0.016920194003527338,1.015491452991453,0.047639284045017515,9
0.6011,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.6016,K1_maple_leaf,0.0,0.14719742063492064,1.5827506089943184,0.6768859953772876,8
0.6016,K2_kagome,0.0,0.017361111111111112,1.0302910052910055,0.0829106126651651,8
0.6016,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.6021,K1_maple_leaf,0.0,0.14809303350970016,1.6136531627206332,0.6886852590320104,9
0.6021,K2_kagome,0.0,0.017195767195767195,1.008888888888889,0.02445111729150913,9
0.6021,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.6026,K1_maple_leaf,0.0,0.14621913580246912,1.5963839313245838,0.6780159327768142,9
0.6026,K2_kagome,0.0,0.018683862433862435,1.0396123369807582,0.11931006646900325,9
0.6026,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.6031,K1_maple_leaf,0.0,0.15079365079365079,1.6414354422706312,0.7440920134846091,9
0.6031,K2_kagome,0.0,0.017526455026455025,1.0298222572454252,0.07935792787893489,9
0.6031,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.6036,K1_maple_leaf,0.0,0.15123456790123457,1.6037823768267188,0.6748569465138081,9
0.6036,K2_kagome,0.0,0.017416225749559082,1.018008567182446,0.05737010571790094,9
0.6036,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.6041,K1_maple_leaf,0.0,0.14539930555555555,1.5578146894000364,0.6423378206248789,8
0.6041,K2_kagome,0.0,0.017485119047619048,1.0277606201386689,0.09247945800403268,8
0.6041,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.6046,K1_maple_leaf,0.0,0.14754188712522043,1.6330146168121211,0.6871931609923649,9
0.6046,K2_kagome,0.0,0.01763668430335097,1.0238870183314628,0.07238117544169538,9
0.6046,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.6051,K1_maple_leaf,0.0,0.15288800705467373,1.6268524295013276,0.7165014926356594,9
0.6051,K2_kagome,0.0,0.016920194003527338,1.018840737120307,0.06144156501253032,9
0.6051,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.6056,K1_maple_leaf,0.0,0.15162037037037035,1.5881380977765194,0.6462741104177708,9
0.6056,K2_kagome,0.0,0.016920194003527334,1.0123456790123457,0.038697287975196414,9
0.6056,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.6061,K1_maple_leaf,0.0,0.1541005291005291,1.6509396117757946,0.7252192608959402,9
0.6061,K2_kagome,0.0,0.016313932980599646,1.0132275132275133,0.03891323355088753,9
0.6061,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.6066,K1_maple_leaf,0.0,0.15730406746031744,1.6762706522287754,0.7488801949493329,8
0.6066,K2_kagome,0.0,0.015376984126984128,1.0380987394957981,0.09945921818848652,8
0.6066,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.6071,K1_maple_leaf,0.0,0.15514770723104057,1.6454715150319272,0.7039356450542339,9
0.6071,K2_kagome,0.0,0.018242945326278657,1.0291198568197164,0.08431649780496799,9
0.6071,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.6076,K1_maple_leaf,0.0,0.1529982363315697,1.6023729568910077,0.6641399022420224,9
0.6076,K2_kagome,0.0,0.01763668430335097,1.01510496671787,0.04042948269801241,9
0.6076,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.6081,K1_maple_leaf,0.0,0.15354938271604934,1.5914549019549828,0.6610393928276549,9
0.6081,K2_kagome,0.0,0.017636684303350973,1.005050505050505,0.01720972756612847,9
0.6081,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.6086,K1_maple_leaf,0.0,0.15382495590828926,1.607590541187275,0.6622809616200602,9
0.6086,K2_kagome,0.0,0.015487213403880071,1.0063492063492063,0.018693134333759562,9
0.6086,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.6091,K1_maple_leaf,0.0,0.16121031746031747,1.6399892053934075,0.6770313286787895,8
