eta,target,flank_ratio,weight,n
0.58,honeycomb_K3,nan,0.0,9
0.58,kagome_K2,nan,0.0,9
0.58,maple_leaf_K1,0.6975262952577252,0.008267195767195767,9
0.59,honeycomb_K3,nan,0.0,9
0.59,kagome_K2,nan,0.0,9
0.59,maple_leaf_K1,0.6817089127030647,0.005952380952380952,9
0.5986,honeycomb_K3,nan,0.0,9
0.5986,kagome_K2,nan,0.0,9
0.5986,maple_leaf_K1,0.6110920841570997,0.0048500881834215165,9
0.5991,honeycomb_K3,nan,0.0,9
0.5991,kagome_K2,nan,0.0,9
0.5991,maple_leaf_K1,0.8147944647944647,0.006172839506172839,9
0.5996,honeycomb_K3,nan,0.0,8
0.5996,kagome_K2,nan,0.0,8
0.5996,maple_leaf_K1,0.6788136571031307,0.005704365079365079,8
0.6,honeycomb_K3,nan,0.0,9
0.6,kagome_K2,nan,0.0,9
0.6,maple_leaf_K1,0.5701975991068287,0.005070546737213403,9
0.6001,honeycomb_K3,nan,0.0,9
0.6001,kagome_K2,nan,0.0,9
0.6001,maple_leaf_K1,0.4349235750680539,0.003527336860670194,9
0.6006,honeycomb_K3,nan,0.0,9
0.6006,kagome_K2,nan,0.0,9
0.6006,maple_leaf_K1,0.5689588275501588,0.004629629629629629,9
0.6011,honeycomb_K3,nan,0.0,9
0.6011,kagome_K2,nan,0.0,9
0.6011,maple_leaf_K1,0.4703665978175782,0.004188712522045855,9
0.6016,honeycomb_K3,nan,0.0,8
0.6016,kagome_K2,nan,0.0,8
0.6016,maple_leaf_K1,0.5708541458541458,0.00458829365079365,8
0.6021,honeycomb_K3,nan,0.0,9
0.6021,kagome_K2,nan,0.0,9
0.6021,maple_leaf_K1,0.46551692201847,0.0034171075837742503,9
0.6026,honeycomb_K3,nan,0.0,9
0.6026,kagome_K2,nan,0.0,9
0.6026,maple_leaf_K1,0.5521976131883253,0.004298941798941799,9
0.6031,honeycomb_K3,nan,0.0,9
0.6031,kagome_K2,nan,0.0,9
0.6031,maple_leaf_K1,0.7413957444917196,0.00496031746031746,9
0.6036,honeycomb_K3,nan,0.0,9
0.6036,kagome_K2,nan,0.0,9
0.6036,maple_leaf_K1,0.5357710763799515,0.004409171075837742,9
0.6041,honeycomb_K3,nan,0.0,8
0.6041,kagome_K2,nan,0.0,8
0.6041,maple_leaf_K1,0.47476664417453895,0.0035962301587301585,8
0.6046,honeycomb_K3,nan,0.0,9
0.6046,kagome_K2,nan,0.0,9
0.6046,maple_leaf_K1,0.7913835514712707,0.005952380952380951,9
0.6051,honeycomb_K3,nan,0.0,9
0.6051,kagome_K2,nan,0.0,9
0.6051,maple_leaf_K1,0.5132572981402836,0.003527336860670194,9
0.6056,honeycomb_K3,nan,0.0,9
0.6056,kagome_K2,nan,0.0,9
0.6056,maple_leaf_K1,0.5799913078550849,0.004298941798941799,9
0.6061,honeycomb_K3,nan,0.0,9
0.6061,kagome_K2,nan,0.0,9
0.6061,maple_leaf_K1,0.5265795206971677,0.004078483245149912,9
0.6066,honeycomb_K3,nan,0.0,8
0.6066,kagome_K2,nan,0.0,8
0.6066,maple_leaf_K1,0.4907544502281344,0.003968253968253968,8
0.6071,honeycomb_K3,nan,0.0,9
0.6071,kagome_K2,nan,0.0,9
0.6071,maple_leaf_K1,0.49242947069034027,0.003858024691358025,9
0.6076,honeycomb_K3,nan,0.0,9
0.6076,kagome_K2,nan,0.0,9
0.6076,maple_leaf_K1,0.7242044992044991,0.004739858906525573,9
0.6081,honeycomb_K3,nan,0.0,9
0.6081,kagome_K2,nan,0.0,9
0.6081,maple_leaf_K1,0.5288998583116231,0.003637566137566137,9
0.6086,honeycomb_K3,nan,0.0,9
0.6086,kagome_K2,nan,0.0,9
0.6086,maple_leaf_K1,0.6831933498600166,0.003747795414462081,9
0.6091,honeycomb_K3,nan,0.0,8
0.6091,kagome_K2,nan,0.0,8
0.6091,maple_leaf_K1,0.5928137128870741,0.004092261904761904,8
0.6096,honeycomb_K3,nan,0.0,9
0.6096,kagome_K2,nan,0.0,9
0.6096,maple_leaf_K1,0.5425254111371579,0.003637566137566137,9
0.61,honeycomb_K3,nan,0.0,9
0.61,kagome_K2,nan,0.0,9
0.61,maple_leaf_K1,0.483016983016983,0.002535273368606702,9
0.6101,honeycomb_K3,nan,0.0,9
0.6101,kagome_K2,nan,0.0,9
0.6101,maple_leaf_K1,0.6092580621992387,0.003747795414462081,9
0.6106,honeycomb_K3,nan,0.0,9
0.6106,kagome_K2,nan,0.0,9
0.6106,maple_leaf_K1,0.7802469135802469,0.005070546737213404,9
0.62,honeycomb_K3,nan,0.0,8
0.62,kagome_K2,nan,0.0,8
